name,weight,price,ingredients,allergens,categories
Paella met vis en kip,500 gram,"8,55","rijst (49%), kip (11%), erwten, paprika, tomaat (6%), ui, mosselen (5%)(weekdieren), olijfolie ongehard, garnalen (2%)(schaaldieren), inktvis (2%)(weekdieren), kruiden & specerijen, zout, water, dextrose, natuurlijk aroma (mosterd, selderij), glucosestroop, raapzaadolie ongehard, voedingszuren (E331iii, citroenzuur), verdikkingsmiddel (E407), tapiocazetmeel, zuurteregelaars (E500), kleurstoffen (annatto, bietenrood), citrusvezel.","Aanwezig: Schaaldieren, Selderij, Mosterd, Gevogelte, Weekdieren","Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)"
Belgische stoofpot met gestoofde appel en aardappelpuree,500 gram,"8,55",,,"Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
"Runderlap, sperziebonen en aardappelen",500 gram,"8,55","sperziebonen (36%), aardappel (34%), rundvlees (14%), water, maltodextrine, maiszetmeel, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, verdikkingsmiddel (gemodificeerd aardappelzetmeel, E407), zout, gejodeerd zout, natuurlijk aroma, gekarameliseerde suiker, aroma, kruiden & specerijen, azijn, rijsmiddelen (E500ii), gistextract, tomatenpuree, maisolie, aardappelzetmeel, smaakversterkers (E640), dextrose, uienextract, voedingszuren (E331iii), ui, karamelsuikerstroop, uienpoeder, raapzaadolie ongehard, paprika.",Aanwezig: Rundvlees,"Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
"Rundersaucijs, prei met saus en aardappelen",500 gram,"8,55","aardappel (34%), prei (27%), water, rundvlees (14%), tarwebloem (tarwe), zout, palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel), gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, maltodextrine, gist, tarwezemelen (tarwe), kruiden & specerijen, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), azijn, ui, volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, tomatenpuree, maisolie, aroma, varkensdarm, glucosestroop, suiker, karamelsuikerstroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Rundvlees, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Rundvlees"
"Sucadelap, bloemkool met saus en aardappelen",500 gram,"8,55","aardappel (34%), bloemkool (32%), water, rundvlees (14%), tarwebloem (tarwe), gemodificeerd aardappelzetmeel, maltodextrine, gemodificeerd maiszetmeel, zout, gejodeerd zout, palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel, guargom), kruiden & specerijen, aardappelzetmeel, gekarameliseerde suiker, ui, tomatenpuree, aroma, uienpoeder, gistextract, karamelsuikerstroop, suiker, maisolie ongehard, stabilisatoren (xanthaangom, E452, E451), palmolie ongehard, kleurstoffen (E150d, E150c), melkeiwitten (lactose, melk), lactose (lactose, melk), paprika, maisolie, natuurlijk aroma, rundvleesextract, suikerstroop, sinaasappelschil, voedingszuren (citroenzuur), uiensap, zonnebloemolie ongehard, volle melkpoeder (lactose, melk), raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), azijn, wijnazijn, antioxidanten (E306).","Aanwezig: Gluten, Melk, Rundvlees, Tarwe, Lactose","Keukens, Hollands, Rundvlees"
"Runderlap, witlof a la crème en aardappelen",500 gram,"8,55","aardappel (34%), witlof (26%), water, rundvlees (14%), melk (lactose, melk), room (lactose, melk), tarwebloem (tarwe), zout, maltodextrine, palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel, E407), maiszetmeel, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, natuurlijk aroma, gekarameliseerde suiker, kruiden & specerijen, zetmeel, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), azijn, rijsmiddelen (E500ii), ui, volle melkpoeder (lactose, melk), tomatenpuree, maisolie, aroma, uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, aardappelzetmeel, smaakversterkers (E640), dextrose, uienextract, voedingszuren (E331iii), karamelsuikerstroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Rundvlees, Tarwe, Lactose","Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
"Runderburger, bloemkool met saus en aardappelen",500 gram,"8,55","aardappel (34%), bloemkool (32%), water, rundvlees (16%), tarwebloem (tarwe), gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, palmvet ongehard, zout, verdikkingsmiddel (gemodificeerd maiszetmeel), maltodextrine, paneermeel (tarwe), kruiden & specerijen, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), ui, tomatenpuree, maisolie, aroma, tarwevezel (tarwe), aardappelzetmeel, volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, karamelsuikerstroop, zeezout, paprika, rundereiwit, gekarameliseerde suiker, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Rundvlees, Tarwe, Lactose","Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
Stamppot andijvie en rundergehaktbal met mosterd,500 gram,"8,55","aardappel (36%), water, andijvie (21%), rundvlees (13%), havermout (haver), zonnebloemolie ongehard, paneermeel (tarwe), melkpoeder (lactose, melk), kruiden & specerijen (mosterd, selderij), gejodeerd zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, tomatenpuree, zout, maltodextrine, natuurlijk aroma (mosterd, selderij), raapzaadolie gehard, azijn, melk (lactose, melk), room (lactose, melk), suiker, natuurazijn, antioxidanten (E300, E301, E304), voedingszuren (soja) (E331, E262, E322 (soja)), aroma, maisolie, glucosestroop, rijstemeel, conserveermiddelen (E202), ui, karamelsuikerstroop, raapzaadolie ongehard, paprika, emulgatoren (E450), kleurstoffen (caroteen).","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Rundvlees, Tarwe, Haver, Lactose","Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
Stamppot hutspot met sucadelap,500 gram,"8,55","aardappel (29%), water, wortel (20%), rundvlees (14%), ui (10%), zonnebloemolie ongehard, melkpoeder (lactose, melk), gemodificeerd aardappelzetmeel, maltodextrine, gemodificeerd maiszetmeel, gejodeerd zout, kruiden & specerijen (mosterd, selderij), zout, aardappelzetmeel, gekarameliseerde suiker, raapzaadolie gehard, melk (lactose, melk), room (lactose, melk), natuurazijn, suiker, aroma, tomatenpuree, karamelsuikerstroop, uienpoeder, gistextract, maisolie ongehard, natuurlijk aroma (mosterd, selderij), stabilisatoren (xanthaangom, E452, E451), kleurstoffen (E150d, E150c, caroteen), maisolie, glucosestroop, paprika, rundvleesextract, suikerstroop, sinaasappelschil, voedingszuren (soja) (citroenzuur, E322 (soja)), uiensap, verdikkingsmiddel (guargom), raapzaadolie ongehard, azijn, wijnazijn, antioxidanten (E304), emulgatoren (E450).","Aanwezig: Soja, Melk, Selderij, Mosterd, Rundvlees, Lactose","Keukens, Hollands, Rundvlees"
"Rundervink, spinazie a la crème,en aardappelen",500 gram,"8,55","aardappel (34%), spinazie (31%), water, rundvlees (11%), paneermeel (tarwe), melk (lactose, melk), room (lactose, melk), tarwebloem (tarwe), maiszetmeel, zout, palmvet ongehard, kruiden & specerijen, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, verdikkingsmiddel (gemodificeerd maiszetmeel), maltodextrine, dextrose, specerijenextract, zetmeel, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), ui, raapzaadolie ongehard, tomatenpuree, maisolie, aroma, volle melkpoeder (lactose, melk), uienpoeder, natuurlijk aroma (mosterd, selderij), gehydrolyseerd plantaardig eiwit (tarwe), gistextract, karamelsuikerstroop, glucosestroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Selderij, Mosterd, Rundvlees, Tarwe, Lactose","Keukens, Hollands, Rundvlees, Kleine maaltijden (350 gram)"
