Categorie,Naam,Ingrediënten,URL
Hollandse maaltijden,Heekfilet in Hollandaisesaus met broccoliroosjes en aardappelpuree,"Broccoli 29%, aardappelen 24%, HEEK 18%, water, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), ROOM, volleMELKpoeder, uien, BOTER, EIgeel, zetmeel, witte wijn, zout, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), kervel en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/heekfilet-in-hollandaisesaus-met-broccoliroosjes-en-aardappelpuree
Hollandse maaltijden,Hollandse hachee met rode kool en gekookte aardappelen,"Aardappelen 31%, water, rode kool 17%, rundstoofvlees 9% (rundvlees, water, zetmeel, zout), uien, pulled beef 4% (rundsvlees, zout), appelmoes 3% (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), appelsap uit sapconcentraat 2%, suiker, zetmeel, gedroogde appel, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), TARWEbloem, rundvleesextract (rundvlees, zout), zout, groentebouillon (groenten-extracten (wortelen, uien, bloemkool, tomaten, champignons), zout, plantaardige olie (zonnebloem, koolzaad), suiker, zetmeel, kruiden, specerij-extract, specerijen, lavas, knoflook), azijn, kleurstof: karamel, citroensap uit sapconcentraat, laurier, specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/smaakvolle-hollandse-hachee-met-rode-kool-en-gekookte-aardappelen
Hollandse maaltijden,Varkenslapje in jus met spruitjes en gekookte aardappelen,"aardappelen 30%, spruiten 28%, water, hamlap 16% (varkensvlees, varkenseiwit, water, zout, gedroogde glucosestroop, dextrose, stabilisatoren: carrageen, tetranatriumdifosfaat, kleurstof: karamel), uien, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), BOTER, azijn, suiker, zout, tomatenconcentraat, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), kleurstof: karamel, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/varkenslapje-met-spruitjes-en-aardapplen
Hollandse maaltijden,"Kip naar oma’s recept met groentenmix, zilveruitjes, spekreepjes en gebakken aardappelblokjes","Gebakken aardappelen 28% (aardappelen, zonnebloemolie, dextrose), water, gebakken kippenfilet 12% (kip, water, zout, dextrose), wortelen, bonen, erwten, tomaten, champignons, zilverui, spekreepjes (varkensvlees, water, zout, dextrose, aroma, stabilisatoren: difosfaat, trifosfaat, antioxidant: natriumascorbaat), uien, witte wijn, zonnebloemolie, fond (zetmeel, dextrose, aroma, zout, groente-extracten (uien, tomaten, wortelen), cichorei, vlees en vet van rund, TARWEbloem, sacharose, zonnebloemolie, witte wijn extract, kalfsvlees, knoflook, peper, kruiden), tomatenconcentraat, gemodificeerd zetmeel, zout, gistextract, zetmeel, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen), uienpoeder, knoflook, wijnazijn, druivenmost, kleurstoffen: karamel, sulfiet-ammoniakkaramel, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/kip-naar-oma-s-recept-met-champignons-groentemix-en-gebakken-aardappelen
Hollandse maaltijden,Kippenspies met exotische groenten en gebakken aardappelblokjes,"Groenten 42% (tomaat, maïs, paprika, courgette, aubergine, ui, rode kidney boon), aardappel 24%, kip 19%, ananas, water, olijfolie, plantaardige oliën (zonnebloem, koolzaad), gehydrolyseerd plantaardig eiwit, paprika olie, dextrose, zout, gistextract, zetmeel, groente-extracten (SELDERIJ, ui, tomaat, wortel), uienpoeder, knoflook, gemodificeerd zetmeel, limoensapconcentraat, citroenpulp, voedingszuur: citroenzuur, limoen extract, suiker, spinazie, specerijenmix, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten of melk (lactose) bevatten.",https://www.versaantafel.nl/kippenspies-met-exotische-groenten-en-gebakken-aardappelen
Hollandse maaltijden,Runderlapje in jus met bloemkool en bechamelsaus en gekookte aardappelen,"Aardappelen 30%, bloemkool 30%, water, runderlapje 16% (rundvlees, water, zetmeel, zout, tomaat, suiker, ui, gistextract, natuurlijk aroma, specerijen, chicorei extract, gerookte paprika, kruiden, specerijenextract), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, volleMELKpoeder, emmental KAAS, TARWEbloem, zout, BOTER, zetmeel, kleurstof: karamel, kruiden en specerijen.",https://www.versaantafel.nl/runderlapje-met-bloemkool-in-bechamelsaus-en-gekookte-aardappelen
Hollandse maaltijden,Varkenshaas in jus met spinazie à la crème en gekookte gekruide krielaardappelen,"Spinazie 30%, aardappelen 23%, water, varkenshaas 18% (varkensvlees 79%, dextrose, water, zout, gekaramelliseerde suiker, zuurteregelaar: glycine en natriumglycinaat), ROOM 5%, gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), TARWEbloem, koolzaadolie, peterselie, zout, kleurstof: karamel, pepe",https://www.versaantafel.nl/varkenshaas-met-romige-spinazie-en-gekookte-krieltjes
Hollandse maaltijden,Kipfilet in jus met sperzieboontjes en aardappelblokjes,"""Aardappelen 33%, sperziebonen 30%, gegrilde kipfilet 19% (kip 96%, zetmeel, dextrose, maltodextrine, d-xylose, zout), water, zonnebloemolie, uien, bouillon (kippenfond (water, kippenvet, kippenvlees, rozemarijnextract), zout, suiker, zetmeel, gistextract, zonnebloemolie, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen), uienpoeder, knoflook, LACTOSE, maltodextrine, dextrose, kippenvet en -vlees, uien, wortelen, kruiden en specerijen), TARWEbloem, gemodificeerd zetmeel, geroosterd kippenaroma, tomatenconcentraat, kleurstof: karamel, zout, specerijen.""",https://www.versaantafel.nl/malse-kipfilet-in-jus-met-sperziebonen-en-gekookte-aardappelen
Hollandse maaltijden,Hamlapje in jus met tuinboontjes en aardappelpuree met bieslook,"tuinbonen 31%, aardappelen 28%, water, hamlap 16% (varkensvlees, varkenseiwit, water, zout, gedroogde glucosestroop, dextrose, stabilisatoren: carrageen, tetranatriumdifosfaat, kleurstof: karamel), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volleMELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, EIgeel, bieslook, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/hamlapje-met-tuinboontjes-en-aardappelpuree-met-bieslook
Hollandse maaltijden,Kiphaasjes in jus met witlof à la crème en aardappelpuree,"Witloof 28%, aardappelen 24%, water, kip 15%, zonnebloemolie, uien, volleMELKpoeder, TARWEbloem, EIgeel, gemodificeerd zetmeel, zout, dextrose, zetmeel, kippenbouillon (zout, zetmeel, LACTOSE, gistextract, maltodextrine, dextrose, kippenvet en -vlees, uien, wortelen, zonnebloemolie, specerijen), tomatenconcentraat, kleurstof: karamel, geroosterd kippenaroma, knoflook, antioxidant: citroenzuur, kruid en specerijen.",https://www.versaantafel.nl/kiphaasjes-met-witlof-en-aardappelpuree
